id,lat,lon,brand
461764800,47.4984489,9.2315472,Migrol
467136838,47.4325203,8.4684736,Tamoil
470530851,47.1502011,7.2624599,BP
472703202,47.2281761,7.6206569,Eni
474405088,46.4618535,6.2336397,Tamoil
474982856,47.3702456,8.5125042,Avia
475204226,47.2393184,8.921655,Esso
475921797,47.5490913,7.7712298,BP
480320550,47.3617439,8.5181345,Tamoil
482113363,46.1936332,6.1418139,Tamoil
482164256,46.0076176,8.9476058,Migrol
486059774,46.6684976,7.8697219,Shell
486060424,46.6681128,7.8695976,Migrol
488053482,46.9445843,7.4614161,Tamoil
492088256,45.9948965,8.9426818,BP
492088728,45.9837172,8.9307732,Avia
492090571,46.0080669,9.0077754,Socar
492090693,46.0140555,9.0174687,Eni
495554607,47.1327096,8.7444385,Avia
495554609,47.1391271,8.746331,Coop
497240616,46.3587532,8.9693791,Shell
497784329,47.6029279,9.0044066,SOCAR
500922433,47.4161953,8.5640414,SOCAR
503621496,47.3160213,8.5798679,SOCAR
505816846,47.4302305,8.4658983,Eni
506655898,47.0456856,8.3092877,Avia
514558190,46.965541,7.4656657,Migrol
514598842,46.9546495,7.4600211,Avia
519720101,47.3893281,9.2892411,BP
526993017,47.2965546,7.7041725,Agrola
533864350,47.5347184,7.7113994,Shell
533864890,47.534798,7.7100491,Avia
534826542,47.2481368,8.6048958,Migrol
536852872,47.5515241,7.8035199,Avia
539543939,47.0059157,9.4996938,Shell
539553039,47.004656,9.5000223,Shell
540595237,47.0650897,7.6111371,OIL!
540750897,45.9881697,8.9334663,Esso
542360398,47.3953437,9.6422287,Avia
542416037,47.4473818,8.4378679,Avia
549072799,47.2713859,8.580952,Avia
550238619,47.5929159,8.9973738,Agrola
559179881,47.0607633,8.8026524,Eni
559179882,47.0612169,8.8029083,Migrol
559763141,47.2424106,8.4961167,Agrola
559767599,46.955775,7.4264321,Shell
560114663,46.9441914,6.8426202,Tamoil
560391019,47.0144151,9.496763,Ruedi Rüssel
563050310,47.5145743,7.7196762,BP
